Season,GameNumber,GameDate,VTeamCode,HTeamCode
2010,20527,2010-12-26,PHX,DAL
2010,20528,2010-12-26,EDM,VAN
2010,20529,2010-12-26,ANA,LA
2010,20530,2010-12-27,NYI,NYR
2010,20531,2010-12-27,MIN,CBJ
2010,20532,2010-12-27,BOS,FLA
2010,20533,2010-12-27,DET,COL
2010,20534,2010-12-27,BUF,CGY
2010,20535,2010-12-27,LA,SJ
2010,20536,2010-12-28,CAR,TOR
2010,20537,2010-12-28,ATL,PIT
2010,20538,2010-12-28,MTL,WSH
2010,20539,2010-12-28,BOS,TB
2010,20540,2010-12-28,CHI,STL
2010,20541,2010-12-28,DAL,NSH
2010,20542,2010-12-28,BUF,EDM
2010,20543,2010-12-28,ANA,PHX
2010,20544,2010-12-28,PHI,VAN
2010,20545,2010-12-29,NYR,NJ
2010,20546,2010-12-29,PIT,NYI
2010,20547,2010-12-29,CAR,OTT
2010,20548,2010-12-29,SJ,MIN
2010,20549,2010-12-29,DET,DAL
2010,20550,2010-12-29,LA,PHX
2010,20551,2010-12-30,CBJ,TOR
2010,20552,2010-12-30,BOS,ATL
2010,20553,2010-12-30,MTL,TB
2010,20554,2010-12-30,SJ,CHI
2010,20555,2010-12-30,COL,EDM
2010,20556,2010-12-30,PHI,LA
2010,20557,2010-12-31,ATL,NJ
2010,20558,2010-12-31,MTL,FLA
2010,20559,2010-12-31,NSH,MIN
2010,20560,2010-12-31,NYI,DET
2010,20561,2010-12-31,OTT,CBJ
2010,20562,2010-12-31,PHX,STL
2010,20563,2010-12-31,PHI,ANA
2010,20564,2010-12-31,VAN,DAL
2010,20565,2010-12-31,COL,CGY
2010,20566,2011-01-01,WSH,PIT
2010,20567,2011-01-01,BOS,BUF
2010,20568,2011-01-01,TOR,OTT
2010,20569,2011-01-01,NJ,CAR
2010,20570,2011-01-01,NYR,TB
2010,20571,2011-01-01,SJ,LA
2010,20572,2011-01-01,CGY,EDM
2010,20573,2011-01-02,ATL,MTL
2010,20574,2011-01-02,NYR,FLA
2010,20575,2011-01-02,PHI,DET
2010,20576,2011-01-02,DAL,STL
2010,20577,2011-01-02,CBJ,NSH
2010,20578,2011-01-02,PHX,MIN
2010,20579,2011-01-02,VAN,COL
2010,20580,2011-01-02,CHI,ANA
2010,20581,2011-01-03,BOS,TOR
