,GD,GameNumber,LossTeam,Season,WinTeam,PlayerNumber,PlayerPosition,TeamCode,GF,GA,Rank,RosterCount,Position,PositionCount,FCount,DCount
411612,-1,20283,BOS,2010,LA,5.0,D,LA,4,3,2,18.0,D,6.0,12.0,6.0
411613,-1,20283,BOS,2010,LA,44.0,D,LA,4,3,2,18.0,D,6.0,12.0,6.0
415779,-3,20286,NYI,2010,FLA,19.0,C,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415780,-3,20286,NYI,2010,FLA,14.0,R,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415781,-3,20286,NYI,2010,FLA,21.0,L,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415782,-3,20286,NYI,2010,FLA,7.0,D,FLA,4,1,2,18.0,D,6.0,12.0,6.0
415783,-3,20286,NYI,2010,FLA,24.0,D,FLA,4,1,2,18.0,D,6.0,12.0,6.0
415823,-3,20286,NYI,2010,FLA,10.0,L,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415827,-3,20286,NYI,2010,FLA,13.0,C,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415828,-3,20286,NYI,2010,FLA,32.0,R,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415836,-3,20286,NYI,2010,FLA,5.0,D,FLA,4,1,2,18.0,D,6.0,12.0,6.0
415837,-3,20286,NYI,2010,FLA,6.0,D,FLA,4,1,1,18.0,D,6.0,12.0,6.0
415860,-3,20286,NYI,2010,FLA,43.0,D,FLA,4,1,2,18.0,D,6.0,12.0,6.0
415861,-3,20286,NYI,2010,FLA,52.0,D,FLA,4,1,2,18.0,D,6.0,12.0,6.0
415887,-3,20286,NYI,2010,FLA,18.0,C,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415888,-3,20286,NYI,2010,FLA,37.0,R,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415889,-3,20286,NYI,2010,FLA,16.0,L,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415929,-3,20286,NYI,2010,FLA,9.0,C,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415930,-3,20286,NYI,2010,FLA,67.0,R,FLA,4,1,2,18.0,F,12.0,12.0,6.0
415931,-3,20286,NYI,2010,FLA,61.0,L,FLA,4,1,2,18.0,F,12.0,12.0,6.0
417451,-1,20287,WSH,2010,PHI,17.0,C,PHI,5,4,1,18.0,F,12.0,12.0,6.0
417452,-1,20287,WSH,2010,PHI,36.0,C,PHI,5,4,2,18.0,F,12.0,12.0,6.0
417453,-1,20287,WSH,2010,PHI,28.0,R,PHI,5,4,1,18.0,F,12.0,12.0,6.0
417454,-1,20287,WSH,2010,PHI,20.0,D,PHI,5,4,1,18.0,D,6.0,12.0,6.0
417455,-1,20287,WSH,2010,PHI,25.0,D,PHI,5,4,1,18.0,D,6.0,12.0,6.0
