,Season,GameNumber,TeamCode,RosterCount,D1,D2,F1,F2
389,2010,20250,PHI,18.0,3.0,3.0,5.0,7.0
390,2010,20251,NYR,18.0,2.0,4.0,4.0,8.0
391,2010,20251,PIT,18.0,3.0,3.0,4.0,8.0
392,2010,20252,COL,18.0,1.0,5.0,2.0,10.0
393,2010,20252,STL,18.0,1.0,5.0,3.0,9.0
394,2010,20253,LA,18.0,2.0,4.0,5.0,7.0
395,2010,20253,SJ,18.0,3.0,3.0,6.0,6.0
396,2010,20254,NSH,18.0,2.0,4.0,4.0,8.0
397,2010,20254,TOR,18.0,1.0,5.0,2.0,10.0
398,2010,20255,MTL,18.0,1.0,5.0,3.0,9.0
399,2010,20255,PHI,18.0,3.0,3.0,5.0,7.0
400,2010,20256,ANA,18.0,2.0,4.0,5.0,7.0
401,2010,20256,DAL,18.0,1.0,5.0,3.0,9.0
402,2010,20257,NYI,18.0,0.0,6.0,1.0,11.0
403,2010,20257,TB,18.0,0.0,6.0,2.0,10.0
404,2010,20258,BOS,18.0,2.0,4.0,4.0,8.0
405,2010,20258,NYR,18.0,2.0,4.0,4.0,8.0
406,2010,20259,PIT,18.0,3.0,3.0,5.0,7.0
407,2010,20259,VAN,18.0,3.0,3.0,5.0,7.0
408,2010,20260,BUF,18.0,2.0,4.0,3.0,9.0
409,2010,20260,WSH,18.0,3.0,3.0,5.0,7.0
410,2010,20261,CAR,18.0,2.0,4.0,3.0,9.0
411,2010,20261,OTT,18.0,1.0,5.0,1.0,11.0
412,2010,20263,DET,18.0,3.0,3.0,5.0,7.0
413,2010,20263,STL,18.0,1.0,5.0,3.0,9.0
414,2010,20264,ANA,18.0,2.0,4.0,5.0,7.0
415,2010,20264,MIN,18.0,0.0,6.0,2.0,10.0
416,2010,20265,COL,18.0,1.0,5.0,2.0,10.0
417,2010,20265,SJ,18.0,3.0,3.0,6.0,6.0
418,2010,20266,CGY,18.0,1.0,5.0,3.0,9.0
419,2010,20266,PHX,18.0,2.0,4.0,3.0,9.0
420,2010,20267,CHI,18.0,2.0,4.0,4.0,8.0
421,2010,20267,EDM,18.0,1.0,5.0,0.0,12.0
422,2010,20268,CBJ,18.0,0.0,6.0,2.0,10.0
423,2010,20268,LA,18.0,2.0,4.0,5.0,7.0
424,2010,20269,BOS,18.0,3.0,3.0,4.0,8.0
425,2010,20269,FLA,18.0,1.0,5.0,0.0,12.0
426,2010,20270,NJ,18.0,0.0,6.0,2.0,10.0
427,2010,20270,TOR,18.0,1.0,5.0,2.0,10.0
428,2010,20271,PHI,18.0,3.0,3.0,5.0,7.0
429,2010,20271,TB,18.0,0.0,6.0,2.0,10.0
430,2010,20272,MTL,18.0,1.0,5.0,3.0,9.0
431,2010,20272,NSH,18.0,2.0,4.0,4.0,8.0
432,2010,20273,DAL,18.0,1.0,5.0,3.0,9.0
433,2010,20273,SJ,18.0,3.0,3.0,6.0,6.0
434,2010,20274,CAR,18.0,1.0,5.0,3.0,9.0
435,2010,20274,PIT,18.0,3.0,3.0,5.0,7.0
436,2010,20275,DET,18.0,3.0,3.0,5.0,7.0
437,2010,20275,MIN,18.0,1.0,5.0,2.0,10.0
438,2010,20276,BUF,18.0,2.0,4.0,3.0,9.0
439,2010,20276,LA,18.0,2.0,4.0,5.0,7.0
440,2010,20278,OTT,18.0,1.0,5.0,1.0,11.0
441,2010,20278,STL,18.0,1.0,5.0,3.0,9.0
442,2010,20279,COL,18.0,1.0,5.0,2.0,10.0
443,2010,20279,NYR,18.0,2.0,4.0,4.0,8.0
444,2010,20280,CGY,18.0,1.0,5.0,2.0,10.0
445,2010,20280,CHI,18.0,2.0,4.0,4.0,8.0
446,2010,20281,EDM,18.0,1.0,5.0,0.0,12.0
447,2010,20281,PHX,18.0,2.0,4.0,3.0,9.0
448,2010,20282,ANA,18.0,2.0,4.0,5.0,7.0
449,2010,20282,CBJ,18.0,0.0,6.0,2.0,10.0
450,2010,20283,BOS,18.0,3.0,3.0,5.0,7.0
451,2010,20283,LA,18.0,2.0,4.0,5.0,7.0
452,2010,20286,FLA,18.0,1.0,5.0,0.0,12.0
453,2010,20286,NYI,18.0,0.0,6.0,1.0,11.0
454,2010,20287,PHI,18.0,3.0,3.0,5.0,7.0
455,2010,20287,WSH,18.0,3.0,3.0,4.0,8.0
456,2010,20288,CAR,18.0,1.0,5.0,3.0,9.0
457,2010,20288,NSH,18.0,1.0,5.0,3.0,9.0
458,2010,20289,NJ,18.0,0.0,6.0,2.0,10.0
459,2010,20289,STL,18.0,1.0,5.0,3.0,9.0
460,2010,20290,MIN,18.0,1.0,5.0,2.0,10.0
461,2010,20290,NYR,18.0,2.0,4.0,4.0,8.0
462,2010,20291,COL,18.0,1.0,5.0,2.0,10.0
463,2010,20291,DAL,18.0,1.0,5.0,3.0,9.0
464,2010,20292,CHI,18.0,2.0,4.0,4.0,8.0
465,2010,20292,VAN,18.0,3.0,3.0,5.0,7.0
466,2010,20293,CBJ,18.0,0.0,6.0,2.0,10.0
467,2010,20293,SJ,18.0,3.0,3.0,6.0,6.0
468,2010,20295,CGY,18.0,1.0,5.0,2.0,10.0
469,2010,20295,DET,18.0,3.0,3.0,5.0,7.0
470,2010,20296,ANA,18.0,2.0,4.0,4.0,8.0
471,2010,20296,EDM,18.0,1.0,5.0,0.0,12.0
472,2010,20297,PHX,18.0,1.0,5.0,4.0,8.0
473,2010,20297,VAN,18.0,3.0,3.0,5.0,7.0
474,2010,20298,DAL,18.0,1.0,5.0,3.0,9.0
475,2010,20298,TOR,18.0,1.0,5.0,2.0,10.0
476,2010,20299,NJ,18.0,0.0,6.0,2.0,10.0
477,2010,20299,WSH,18.0,3.0,3.0,4.0,8.0
478,2010,20300,CGY,18.0,1.0,5.0,2.0,10.0
479,2010,20300,NYR,18.0,2.0,4.0,4.0,8.0
480,2010,20302,CBJ,18.0,0.0,6.0,2.0,10.0
481,2010,20302,NSH,18.0,1.0,5.0,3.0,9.0
482,2010,20303,LA,18.0,2.0,4.0,5.0,7.0
483,2010,20303,OTT,18.0,0.0,6.0,1.0,11.0
484,2010,20305,FLA,18.0,1.0,5.0,0.0,12.0
