,Season,TeamCode,GP,GW,GL,L,W,WinPc,LossPc,Mean_Blocks_For,Mean_Faceoffs_For,Mean_Giveaways_For,Mean_Goals_For,Mean_Hits_For,Mean_Misses_For,Mean_Penalties_For,Mean_Shots_For,Mean_Takeaways_For,Mean_Blocks_Against,Mean_Faceoffs_Against,Mean_Giveaways_Against,Mean_Goals_Against,Mean_Hits_Against,Mean_Misses_Against,Mean_Penalties_Against,Mean_Shots_Against,Mean_Takeaways_Against,Rank_W
162,2010,PHX,69,38,31,31,38,0.5507246376811594,0.4492753623188406,13.072463768115941,31.08695652173913,6.492753623188406,2.971014492753623,22.27536231884058,12.36231884057971,4.405797101449275,28.28985507246377,5.507246376811594,13.855072463768115,29.565217391304348,6.086956521739131,2.7971014492753623,22.681159420289855,13.420289855072463,4.231884057971015,30.347826086956523,5.9855072463768115,11.0
0,2010,MTL,68,34,31,31,37,0.5441176470588235,0.45588235294117646,15.073529411764707,28.691176470588236,8.588235294117647,2.764705882352941,19.897058823529413,12.279411764705882,5.220588235294118,29.61764705882353,6.382352941176471,14.823529411764707,28.955882352941178,7.367647058823529,2.661764705882353,22.779411764705884,11.294117647058824,4.985294117647059,28.220588235294116,5.705882352941177,12.0
54,2010,CHI,52,19,24,24,28,0.5384615384615384,0.46153846153846156,13.76923076923077,28.884615384615383,7.903846153846154,3.3076923076923075,20.26923076923077,11.961538461538462,3.5961538461538463,30.076923076923077,8.98076923076923,13.576923076923077,29.423076923076923,7.615384615384615,2.769230769230769,27.53846153846154,10.75,3.980769230769231,26.96153846153846,7.961538461538462,13.5
144,2010,BUF,65,35,44,30,35,0.5384615384615384,0.46153846153846156,14.461538461538462,27.676923076923078,8.507692307692308,3.076923076923077,18.753846153846155,10.846153846153847,4.892307692307693,30.107692307692307,6.953846153846154,13.569230769230769,29.70769230769231,8.184615384615384,2.8615384615384616,21.323076923076922,12.553846153846154,4.476923076923077,27.83076923076923,6.476923076923077,13.5
18540,2010,NSH,72,38,27,34,38,0.5277777777777778,0.4722222222222222,12.291666666666666,28.47222222222222,8.930555555555555,2.7222222222222223,20.22222222222222,10.416666666666666,3.8333333333333335,26.40277777777778,8.694444444444445,13.125,28.22222222222222,9.069444444444445,2.4027777777777777,19.555555555555557,11.069444444444445,3.875,28.583333333333332,8.069444444444445,15.0
72,2010,CGY,72,22,35,35,37,0.5138888888888888,0.4861111111111111,14.569444444444445,28.76388888888889,9.527777777777779,3.111111111111111,20.5,12.666666666666666,4.222222222222222,27.86111111111111,6.833333333333333,14.416666666666666,31.0,9.375,2.9305555555555554,19.88888888888889,11.277777777777779,4.638888888888889,25.75,8.13888888888889,16.0
216,2010,DAL,71,36,47,35,36,0.5070422535211268,0.49295774647887325,14.690140845070422,29.225352112676056,8.873239436619718,2.8309859154929575,27.014084507042252,13.535211267605634,4.859154929577465,25.380281690140844,7.830985915492958,13.56338028169014,29.338028169014084,8.929577464788732,2.9577464788732395,27.901408450704224,12.295774647887324,5.309859154929577,28.014084507042252,6.746478873239437,17.0
36,2010,CAR,76,38,35,38,38,0.5,0.5,14.644736842105264,26.710526315789473,7.144736842105263,2.9210526315789473,26.38157894736842,12.81578947368421,4.065789473684211,27.94736842105263,8.657894736842104,16.460526315789473,33.1578947368421,7.4868421052631575,2.8684210526315788,20.763157894736842,14.43421052631579,5.131578947368421,30.355263157894736,7.815789473684211,18.0
18270,2010,TOR,70,34,31,36,34,0.4857142857142857,0.5142857142857142,16.428571428571427,28.885714285714286,10.985714285714286,2.7857142857142856,25.385714285714286,12.357142857142858,4.6571428571428575,26.15714285714286,7.114285714285714,16.257142857142856,28.214285714285715,10.014285714285714,3.1142857142857143,23.47142857142857,13.271428571428572,5.214285714285714,28.071428571428573,8.1,19.0
18306,2010,MIN,68,38,35,35,33,0.4852941176470588,0.5147058823529411,13.897058823529411,29.397058823529413,7.25,2.5441176470588234,22.455882352941178,10.705882352941176,4.6911764705882355,23.558823529411764,6.382352941176471,12.132352941176471,28.558823529411764,7.102941176470588,2.8529411764705883,20.88235294117647,12.382352941176471,4.294117647058823,29.36764705882353,5.735294117647059,20.0
522,2010,TB,38,18,31,20,18,0.47368421052631576,0.5263157894736842,14.736842105263158,30.526315789473685,7.7631578947368425,2.9473684210526314,20.105263157894736,12.710526315789474,4.605263157894737,29.57894736842105,5.605263157894737,13.868421052631579,30.763157894736842,8.342105263157896,3.3157894736842106,23.157894736842106,11.18421052631579,4.947368421052632,26.263157894736842,7.2105263157894735,21.0
18522,2010,STL,66,30,31,36,30,0.45454545454545453,0.5454545454545454,13.424242424242424,26.151515151515152,5.045454545454546,3.0,23.742424242424242,12.984848484848484,4.863636363636363,27.303030303030305,5.924242424242424,14.196969696969697,29.515151515151516,7.015151515151516,2.893939393939394,21.803030303030305,11.196969696969697,4.924242424242424,24.757575757575758,6.181818181818182,22.0
