,Season,TeamCode,PlayerNumber,PlayerName,PlayerPosition,GP,Goals,Assists,Points,GoalsPerGame,AssistsPerGame,PointsPerGame
5985,2010,NYI,81.0,DIBENEDETTO,C,7.0,0.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285
569,2010,CAR,44.0,HARRISON,D,72.0,3.0,7.0,10.0,0.041666666666666664,0.09722222222222222,0.1388888888888889
3096,2010,VAN,15.0,GLASS,L,72.0,3.0,7.0,10.0,0.041666666666666664,0.09722222222222222,0.1388888888888889
1317,2010,NJ,10.0,PELLEY,C,73.0,3.0,7.0,10.0,0.0410958904109589,0.0958904109589041,0.136986301369863
2189,2010,BOS,48.0,HUNWICK,D,22.0,1.0,2.0,3.0,0.045454545454545456,0.09090909090909091,0.13636363636363635
1788,2010,BUF,52.0,RIVET,D,22.0,1.0,2.0,3.0,0.045454545454545456,0.09090909090909091,0.13636363636363635
5527,2010,COL,36.0,HOLOS,D,22.0,0.0,3.0,3.0,0.0,0.13636363636363635,0.13636363636363635
132,2010,TOR,8.0,KOMISAREK,D,74.0,1.0,9.0,10.0,0.013513513513513514,0.12162162162162163,0.13513513513513514
3108,2010,LA,44.0,DREWISKE,D,37.0,0.0,5.0,5.0,0.0,0.13513513513513514,0.13513513513513514
3754,2010,ANA,3.0,LILJA,D,52.0,1.0,6.0,7.0,0.019230769230769232,0.11538461538461539,0.1346153846153846
3674,2010,ATL,24.0,MEYER,D,15.0,1.0,1.0,2.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
5065,2010,VAN,54.0,VOLPATTI,L,15.0,1.0,1.0,2.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
3897,2010,NSH,52.0,SULZER,D,30.0,1.0,3.0,4.0,0.03333333333333333,0.1,0.13333333333333333
1694,2010,DET,24.0,SALEI,D,75.0,2.0,8.0,10.0,0.02666666666666667,0.10666666666666667,0.13333333333333333
1409,2010,DAL,5.0,NISKANEN,D,45.0,0.0,6.0,6.0,0.0,0.13333333333333333,0.13333333333333333
641,2010,MIN,16.0,STAUBITZ,R,68.0,4.0,5.0,9.0,0.058823529411764705,0.07352941176470588,0.1323529411764706
3981,2010,TOR,39.0,MITCHELL,C,23.0,2.0,1.0,3.0,0.08695652173913043,0.043478260869565216,0.13043478260869565
3373,2010,EDM,46.0,STORTINI,R,31.0,0.0,4.0,4.0,0.0,0.12903225806451613,0.12903225806451613
859,2010,CHI,4.0,HJALMARSSON,D,78.0,3.0,7.0,10.0,0.038461538461538464,0.08974358974358974,0.1282051282051282
888,2010,EDM,5.0,SMID,D,78.0,0.0,10.0,10.0,0.0,0.1282051282051282,0.1282051282051282
1219,2010,SJ,64.0,MCGINN,L,47.0,1.0,5.0,6.0,0.02127659574468085,0.10638297872340426,0.1276595744680851
1265,2010,SJ,21.0,NICHOL,C,56.0,4.0,3.0,7.0,0.07142857142857142,0.05357142857142857,0.125
3187,2010,VAN,18.0,SCHAEFER,L,16.0,1.0,1.0,2.0,0.0625,0.0625,0.125
1939,2010,OTT,4.0,PHILLIPS,D,80.0,1.0,9.0,10.0,0.0125,0.1125,0.125
2136,2010,ATL,15.0,DAWES,L,8.0,0.0,1.0,1.0,0.0,0.125,0.125
972,2010,CGY,44.0,MEYER,L,16.0,0.0,2.0,2.0,0.0,0.125,0.125
5743,2010,OTT,47.0,BENOIT,D,8.0,0.0,1.0,1.0,0.0,0.125,0.125
6038,2010,OTT,51.0,SMITH,D,8.0,0.0,1.0,1.0,0.0,0.125,0.125
5509,2010,STL,38.0,MCRAE,C,8.0,0.0,1.0,1.0,0.0,0.125,0.125
4851,2010,STL,38.0,SCATCHARD,C,8.0,0.0,1.0,1.0,0.0,0.125,0.125
218,2010,TOR,26.0,ZIGOMANIS,C,8.0,0.0,1.0,1.0,0.0,0.125,0.125
2070,2010,ATL,3.0,SOPEL,D,57.0,2.0,5.0,7.0,0.03508771929824561,0.08771929824561403,0.12280701754385964
2602,2010,NYI,16.0,SIM,L,33.0,1.0,3.0,4.0,0.030303030303030304,0.09090909090909091,0.12121212121212122
1391,2010,DAL,23.0,WANDELL,C,75.0,7.0,2.0,9.0,0.09333333333333334,0.02666666666666667,0.12
66,2010,MTL,75.0,GILL,D,75.0,2.0,7.0,9.0,0.02666666666666667,0.09333333333333334,0.12
2779,2010,TB,39.0,LUNDIN,D,67.0,1.0,7.0,8.0,0.014925373134328358,0.1044776119402985,0.11940298507462686
4144,2010,NYI,8.0,GERVAIS,D,51.0,0.0,6.0,6.0,0.0,0.11764705882352941,0.11764705882352941
207,2010,MTL,94.0,PYATT,C,60.0,2.0,5.0,7.0,0.03333333333333333,0.08333333333333333,0.11666666666666667
5118,2010,NJ,18.0,ZHARKOV,R,35.0,2.0,2.0,4.0,0.05714285714285714,0.05714285714285714,0.11428571428571428
848,2010,COL,55.0,MCLEOD,L,71.0,5.0,3.0,8.0,0.07042253521126761,0.04225352112676056,0.11267605633802817
593,2010,CAR,8.0,OSULLIVAN,C,9.0,1.0,0.0,1.0,0.1111111111111111,0.0,0.1111111111111111
3279,2010,CGY,24.0,CONROY,C,18.0,2.0,0.0,2.0,0.1111111111111111,0.0,0.1111111111111111
5159,2010,DET,21.0,TATAR,C,9.0,1.0,0.0,1.0,0.1111111111111111,0.0,0.1111111111111111
5635,2010,NYI,59.0,HALEY,C,27.0,2.0,1.0,3.0,0.07407407407407407,0.037037037037037035,0.1111111111111111
349,2010,PHI,13.0,CARCILLO,L,54.0,4.0,2.0,6.0,0.07407407407407407,0.037037037037037035,0.1111111111111111
3043,2010,SJ,43.0,MCCARTHY,L,36.0,2.0,2.0,4.0,0.05555555555555555,0.05555555555555555,0.1111111111111111
1535,2010,ANA,50.0,BODIE,R,9.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111
5903,2010,FLA,2.0,SULZER,D,9.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111
6193,2010,FLA,34.0,RISSMILLER,L,9.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111
3692,2010,PIT,1.0,JOHNSON,,9.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111
2743,2010,TB,48.0,VERNACE,D,9.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111
3546,2010,VAN,37.0,RYPIEN,C,9.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111
2500,2010,NYI,28.0,KONOPKA,C,82.0,2.0,7.0,9.0,0.024390243902439025,0.08536585365853659,0.10975609756097561
1470,2010,DAL,37.0,SKRASTINS,D,73.0,3.0,5.0,8.0,0.0410958904109589,0.0684931506849315,0.1095890410958904
3170,2010,VAN,4.0,BALLARD,D,64.0,2.0,5.0,7.0,0.03125,0.078125,0.109375
1209,2010,SJ,7.0,WALLIN,D,74.0,3.0,5.0,8.0,0.04054054054054054,0.06756756756756757,0.10810810810810811
3778,2010,TOR,23.0,LEBDA,D,37.0,1.0,3.0,4.0,0.02702702702702703,0.08108108108108109,0.10810810810810811
6086,2010,ANA,19.0,WINCHESTER,L,19.0,1.0,1.0,2.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
5095,2010,ATL,45.0,CORMIER,C,19.0,1.0,1.0,2.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
3790,2010,DAL,11.0,GAGNON,C,19.0,0.0,2.0,2.0,0.0,0.10526315789473684,0.10526315789473684
4638,2010,EDM,22.0,JACQUES,L,48.0,4.0,1.0,5.0,0.08333333333333333,0.020833333333333332,0.10416666666666667
1311,2010,DAL,17.0,PETERSEN,C,58.0,2.0,4.0,6.0,0.034482758620689655,0.06896551724137931,0.10344827586206896
1676,2010,ANA,22.0,MARCHANT,C,78.0,1.0,7.0,8.0,0.01282051282051282,0.08974358974358974,0.10256410256410256
1595,2010,ANA,25.0,SUTTON,D,39.0,0.0,4.0,4.0,0.0,0.10256410256410256,0.10256410256410256
4305,2010,ANA,51.0,PALMIERI,C,10.0,1.0,0.0,1.0,0.1,0.0,0.1
5671,2010,COL,43.0,GAUNCE,D,10.0,1.0,0.0,1.0,0.1,0.0,0.1
78,2010,MTL,17.0,BOYD,C,10.0,1.0,0.0,1.0,0.1,0.0,0.1
3987,2010,WSH,83.0,BEAGLE,C,30.0,2.0,1.0,3.0,0.06666666666666667,0.03333333333333333,0.1
2482,2010,NYR,94.0,BOOGAARD,L,20.0,1.0,1.0,2.0,0.05,0.05,0.1
4537,2010,MIN,6.0,SCANDELLA,D,20.0,0.0,2.0,2.0,0.0,0.1,0.1
5338,2010,NYR,45.0,NEWBURY,C,10.0,0.0,1.0,1.0,0.0,0.1,0.1
617,2010,MIN,25.0,BARKER,D,52.0,1.0,4.0,5.0,0.019230769230769232,0.07692307692307693,0.09615384615384616
4873,2010,WSH,23.0,HANNAN,D,52.0,1.0,4.0,5.0,0.019230769230769232,0.07692307692307693,0.09615384615384616
5796,2010,ANA,37.0,RUUTU,L,21.0,1.0,1.0,2.0,0.047619047619047616,0.047619047619047616,0.09523809523809523
5701,2010,CAR,71.0,SAMSON,R,21.0,0.0,2.0,2.0,0.0,0.09523809523809523,0.09523809523809523
2413,2010,NYR,44.0,EMINGER,D,64.0,2.0,4.0,6.0,0.03125,0.0625,0.09375
4981,2010,MIN,43.0,PETERS,C,11.0,1.0,0.0,1.0,0.09090909090909091,0.0,0.09090909090909091
5790,2010,TB,2.0,BREWER,D,22.0,1.0,1.0,2.0,0.045454545454545456,0.045454545454545456,0.09090909090909091
3772,2010,VAN,29.0,ROME,D,55.0,1.0,4.0,5.0,0.01818181818181818,0.07272727272727272,0.09090909090909091
3231,2010,LA,6.0,MUZZIN,D,11.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.09090909090909091
2566,2010,NYI,4.0,EATON,D,33.0,0.0,3.0,3.0,0.0,0.09090909090909091,0.09090909090909091
5873,2010,NYI,71.0,KATIC,D,11.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.09090909090909091
2237,2010,PHX,16.0,PRUCHA,R,11.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.09090909090909091
6199,2010,TOR,29.0,LASHOFF,D,11.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.09090909090909091
1329,2010,DAL,28.0,FISTRIC,D,56.0,2.0,3.0,5.0,0.03571428571428571,0.05357142857142857,0.08928571428571429
1397,2010,NJ,5.0,WHITE,D,68.0,0.0,6.0,6.0,0.0,0.08823529411764706,0.08823529411764706
473,2010,MIN,5.0,ZANON,D,82.0,0.0,7.0,7.0,0.0,0.08536585365853659,0.08536585365853659
1341,2010,DAL,20.0,SUTHERBY,C,48.0,2.0,2.0,4.0,0.041666666666666664,0.041666666666666664,0.08333333333333333
5593,2010,DAL,81.0,VINCOUR,C,24.0,1.0,1.0,2.0,0.041666666666666664,0.041666666666666664,0.08333333333333333
3014,2010,DET,4.0,KINDL,D,48.0,2.0,2.0,4.0,0.041666666666666664,0.041666666666666664,0.08333333333333333
1851,2010,BUF,27.0,MORRISONN,D,60.0,1.0,4.0,5.0,0.016666666666666666,0.06666666666666667,0.08333333333333333
3332,2010,FLA,16.0,HORDICHUK,L,60.0,1.0,4.0,5.0,0.016666666666666666,0.06666666666666667,0.08333333333333333
2834,2010,STL,55.0,JANSSEN,R,51.0,1.0,3.0,4.0,0.0196078431372549,0.058823529411764705,0.0784313725490196
4885,2010,TOR,38.0,ROSEHILL,L,26.0,1.0,1.0,2.0,0.038461538461538464,0.038461538461538464,0.07692307692307693
180,2010,TOR,11.0,SJOSTROM,L,65.0,2.0,3.0,5.0,0.03076923076923077,0.046153846153846156,0.07692307692307693
6014,2010,ATL,20.0,DVORAK,R,13.0,0.0,1.0,1.0,0.0,0.07692307692307693,0.07692307692307693
5575,2010,CGY,57.0,BOUMA,L,13.0,0.0,1.0,1.0,0.0,0.07692307692307693,0.07692307692307693
1353,2010,NJ,2.0,FRASER,D,26.0,0.0,2.0,2.0,0.0,0.07692307692307693,0.07692307692307693
930,2010,EDM,16.0,FRASER,C,67.0,3.0,2.0,5.0,0.04477611940298507,0.029850746268656716,0.07462686567164178
6104,2010,CBJ,52.0,RIVET,D,14.0,1.0,0.0,1.0,0.07142857142857142,0.0,0.07142857142857142
2548,2010,DAL,13.0,BARCH,R,42.0,2.0,1.0,3.0,0.047619047619047616,0.023809523809523808,0.07142857142857142
437,2010,PHI,45.0,SHELLEY,L,58.0,2.0,2.0,4.0,0.034482758620689655,0.034482758620689655,0.06896551724137931
421,2010,PHI,35.0,BOBROVSKY,,29.0,0.0,2.0,2.0,0.0,0.06896551724137931,0.06896551724137931
2670,2010,NJ,1.0,HEDBERG,,15.0,0.0,1.0,1.0,0.0,0.06666666666666667,0.06666666666666667
3493,2010,NJ,11.0,MAIR,C,61.0,1.0,3.0,4.0,0.01639344262295082,0.04918032786885246,0.06557377049180328
4763,2010,CAR,20.0,BODIE,R,47.0,1.0,2.0,3.0,0.02127659574468085,0.0425531914893617,0.06382978723404255
6050,2010,PHX,16.0,KLESLA,D,16.0,1.0,0.0,1.0,0.0625,0.0,0.0625
4757,2010,CAR,29.0,CARTER,C,32.0,0.0,2.0,2.0,0.0,0.0625,0.0625
1845,2010,OTT,5.0,LEE,D,48.0,0.0,3.0,3.0,0.0,0.0625,0.0625
4626,2010,PHX,52.0,YONKMAN,D,16.0,0.0,1.0,1.0,0.0,0.0625,0.0625
1559,2010,ANA,23.0,MARA,D,33.0,1.0,1.0,2.0,0.030303030303030304,0.030303030303030304,0.06060606060606061
2578,2010,NYI,14.0,GILLIES,L,34.0,2.0,0.0,2.0,0.058823529411764705,0.0,0.058823529411764705
3114,2010,LA,19.0,WESTGARTH,R,51.0,0.0,3.0,3.0,0.0,0.058823529411764705,0.058823529411764705
6074,2010,NJ,25.0,STECKEL,C,18.0,1.0,0.0,1.0,0.05555555555555555,0.0,0.05555555555555555
3945,2010,CGY,29.0,MIKKELSON,D,18.0,0.0,1.0,1.0,0.0,0.05555555555555555,0.05555555555555555
3611,2010,NJ,14.0,SESTITO,C,36.0,0.0,2.0,2.0,0.0,0.05555555555555555,0.05555555555555555
