,Season,GameNumber,TeamCode,roster,PlayerNumber,PlayerPosition,Rank
43,2010,20002,PHI,18.0,6.0,D,2
44,2010,20002,PHI,18.0,25.0,D,1
45,2010,20002,PHI,18.0,41.0,D,2
46,2010,20002,PHI,18.0,44.0,D,1
47,2010,20002,PHI,18.0,13.0,L,2
48,2010,20002,PHI,18.0,19.0,L,2
49,2010,20002,PHI,18.0,21.0,L,2
50,2010,20002,PHI,18.0,22.0,L,1
51,2010,20002,PHI,18.0,45.0,L,2
52,2010,20002,PHI,18.0,28.0,R,1
53,2010,20002,PHI,18.0,93.0,R,2
54,2010,20002,PIT,18.0,10.0,C,2
55,2010,20002,PIT,18.0,17.0,C,2
56,2010,20002,PIT,18.0,19.0,C,2
57,2010,20002,PIT,18.0,25.0,C,2
58,2010,20002,PIT,18.0,26.0,C,2
59,2010,20002,PIT,18.0,48.0,C,2
60,2010,20002,PIT,18.0,71.0,C,1
61,2010,20002,PIT,18.0,87.0,C,1
62,2010,20002,PIT,18.0,3.0,D,1
63,2010,20002,PIT,18.0,4.0,D,2
64,2010,20002,PIT,18.0,5.0,D,2
65,2010,20002,PIT,18.0,7.0,D,2
66,2010,20002,PIT,18.0,44.0,D,2
67,2010,20002,PIT,18.0,58.0,D,1
68,2010,20002,PIT,18.0,9.0,L,2
69,2010,20002,PIT,18.0,14.0,L,1
70,2010,20002,PIT,18.0,24.0,L,2
71,2010,20002,PIT,18.0,27.0,R,2
72,2010,20003,CAR,18.0,8.0,C,2
73,2010,20003,CAR,18.0,12.0,C,1
74,2010,20003,CAR,18.0,16.0,C,2
75,2010,20003,CAR,18.0,22.0,C,2
76,2010,20003,CAR,18.0,53.0,C,1
77,2010,20003,CAR,18.0,4.0,D,2
78,2010,20003,CAR,18.0,6.0,D,2
79,2010,20003,CAR,18.0,25.0,D,1
80,2010,20003,CAR,18.0,33.0,D,2
81,2010,20003,CAR,18.0,44.0,D,2
82,2010,20003,CAR,18.0,77.0,D,1
83,2010,20003,CAR,18.0,21.0,L,2
84,2010,20003,CAR,18.0,26.0,L,2
85,2010,20003,CAR,18.0,36.0,L,2
86,2010,20003,CAR,18.0,15.0,R,1
87,2010,20003,CAR,18.0,29.0,R,2
88,2010,20003,CAR,18.0,39.0,R,2
89,2010,20003,CAR,18.0,59.0,R,2
90,2010,20003,MIN,18.0,7.0,C,2
91,2010,20003,MIN,18.0,9.0,C,1
92,2010,20003,MIN,18.0,11.0,C,2
93,2010,20003,MIN,18.0,21.0,C,2
94,2010,20003,MIN,18.0,4.0,D,2
95,2010,20003,MIN,18.0,5.0,D,2
96,2010,20003,MIN,18.0,8.0,D,1
97,2010,20003,MIN,18.0,25.0,D,2
98,2010,20003,MIN,18.0,41.0,D,2
99,2010,20003,MIN,18.0,55.0,D,2
100,2010,20003,MIN,18.0,15.0,L,2
101,2010,20003,MIN,18.0,23.0,L,2
102,2010,20003,MIN,18.0,48.0,L,2
103,2010,20003,MIN,18.0,12.0,R,2
104,2010,20003,MIN,18.0,16.0,R,2
105,2010,20003,MIN,18.0,20.0,R,2
106,2010,20003,MIN,18.0,22.0,R,2
107,2010,20003,MIN,18.0,24.0,R,1
108,2010,20004,CHI,18.0,19.0,C,1
109,2010,20004,CHI,18.0,28.0,C,2
110,2010,20004,CHI,18.0,36.0,C,2
111,2010,20004,CHI,18.0,2.0,D,1
112,2010,20004,CHI,18.0,4.0,D,2
113,2010,20004,CHI,18.0,6.0,D,2
114,2010,20004,CHI,18.0,7.0,D,1
115,2010,20004,CHI,18.0,8.0,D,2
116,2010,20004,CHI,18.0,32.0,D,2
117,2010,20004,CHI,18.0,25.0,L,2
118,2010,20004,CHI,18.0,29.0,L,2
119,2010,20004,CHI,18.0,10.0,R,1
120,2010,20004,CHI,18.0,15.0,R,2
121,2010,20004,CHI,18.0,20.0,R,2
122,2010,20004,CHI,18.0,22.0,R,2
123,2010,20004,CHI,18.0,81.0,R,1
124,2010,20004,CHI,18.0,82.0,R,2
125,2010,20004,CHI,18.0,88.0,R,1
126,2010,20004,COL,18.0,9.0,C,1
127,2010,20004,COL,18.0,12.0,C,2
128,2010,20004,COL,18.0,26.0,C,1
129,2010,20004,COL,18.0,34.0,C,2
130,2010,20004,COL,18.0,37.0,C,2
131,2010,20004,COL,18.0,40.0,C,2
