,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,TeamCode,VPlayer,VPosition,HPlayer,HPosition,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,HTeamCode,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player,TBGoalandEvent,Counts,block,faceoff,giveaway,goal,hit,miss,penalty,shot,takeaway,eventvalue,heventvalue,veventvalue,vp,hp,vgp,hgp,gp,plyr
2305,2010,20001,227.0,3,EV,137,1063.0,SHOT,"MTL ONGOAL - #17 BOYD, Wrist, Off. Zone, 20 ft.",MTL,31.0,G,35.0,G,17.0,BOYD,Wrist,O,20.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,11.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.2962962962962963,1,1,1,-0.2962962962962963
158,2010,20001,229.0,3,EV,138,1062.0,FAC,TOR won Def. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,TOR,15.0,C,42.0,C,,,,D,,,,,,TOR,MTL,TOR,,,,,,,,,,,,,,2010-10-07,5.0,148.0,,,10.0,162,0,1,0,0,0,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.2962962962962963,-0.48148148148148145,1,1,1,-0.48148148148148145
588,2010,20001,229.0,3,EV,138,1062.0,FAC,TOR won Def. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,TOR,40.0,RW,81.0,RW,,,,D,,,,,,TOR,MTL,TOR,,,,,,,,,,,,,,2010-10-07,5.0,148.0,,,10.0,162,0,1,0,0,0,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.8518518518518519,-0.25925925925925924,1,1,1,-0.25925925925925924
1018,2010,20001,229.0,3,EV,138,1062.0,FAC,TOR won Def. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,TOR,57.0,LW,32.0,LW,,,,D,,,,,,TOR,MTL,TOR,,,,,,,,,,,,,,2010-10-07,5.0,148.0,,,10.0,162,0,1,0,0,0,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.6296296296296295,-0.8148148148148149,1,1,1,-0.8148148148148149
1448,2010,20001,229.0,3,EV,138,1062.0,FAC,TOR won Def. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,TOR,26.0,RD,8.0,RD,,,,D,,,,,,TOR,MTL,TOR,,,,,,,,,,,,,,2010-10-07,5.0,148.0,,,10.0,162,0,1,0,0,0,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.2962962962962963,-0.7407407407407407,1,1,1,-0.7407407407407407
1878,2010,20001,229.0,3,EV,138,1062.0,FAC,TOR won Def. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,TOR,75.0,LD,22.0,LD,,,,D,,,,,,TOR,MTL,TOR,,,,,,,,,,,,,,2010-10-07,5.0,148.0,,,10.0,162,0,1,0,0,0,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.2962962962962963,-0.4444444444444444,1,1,1,-0.4444444444444444
2306,2010,20001,229.0,3,EV,138,1062.0,FAC,TOR won Def. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,TOR,31.0,G,35.0,G,,,,D,,,,,,TOR,MTL,TOR,,,,,,,,,,,,,,2010-10-07,5.0,148.0,,,10.0,162,0,1,0,0,0,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.2962962962962963,-0.2962962962962963,1,1,1,-0.2962962962962963
159,2010,20001,230.0,3,EV,145,1055.0,SHOT,"MTL ONGOAL - #15 HALPERN, Snap, Off. Zone, 18 ft.",MTL,15.0,C,42.0,C,15.0,HALPERN,Snap,O,18.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,3.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.48148148148148145,1,1,1,-0.48148148148148145
589,2010,20001,230.0,3,EV,145,1055.0,SHOT,"MTL ONGOAL - #15 HALPERN, Snap, Off. Zone, 18 ft.",MTL,40.0,RW,81.0,RW,15.0,HALPERN,Snap,O,18.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,3.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.8518518518518519,-0.25925925925925924,1,1,1,-0.25925925925925924
1019,2010,20001,230.0,3,EV,145,1055.0,SHOT,"MTL ONGOAL - #15 HALPERN, Snap, Off. Zone, 18 ft.",MTL,57.0,LW,32.0,LW,15.0,HALPERN,Snap,O,18.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,3.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.6296296296296295,-0.8148148148148149,1,1,1,-0.8148148148148149
