,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,VPlayer1,VPosition1,VPlayer2,VPosition2,VPlayer3,VPosition3,VPlayer4,VPosition4,VPlayer5,VPosition5,VPlayer6,VPosition6,HPlayer1,HPosition1,HPlayer2,HPosition2,HPlayer3,HPosition3,HPlayer4,HPosition4,HPlayer5,HPosition5,HPlayer6,HPosition6,TeamCode,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,VNumber,VName,HTeamCode,HNumber,HName,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player
36,2010,20001,38.0,1,EV,408,792.0,FAC,MTL won Neu. Zone - MTL #14 PLEKANEC vs TOR #37 BRENT,14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,37.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,,,,,N,,,,,,MTL,MTL,14.0,PLEKANEC,TOR,37.0,BRENT,,,,,,,,,,,,,,2010-10-07,,,,
37,2010,20001,39.0,1,EV,415,785.0,HIT,"TOR #37 BRENT HIT MTL #14 PLEKANEC, Def. Zone",14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,37.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,,,,,D,,,,,,,,,,,,,TOR,37.0,BRENT,MTL,14.0,PLEKANEC,,,,,,,,,,,,
38,2010,20001,40.0,1,EV,417,783.0,MISS,"MTL #26 GORGES, Wrist, Wide of Net, Off. Zone, 26 ft.",14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,37.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,MTL,26.0,GORGES,Wrist,O,26.0,Wide of Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2010,20001,41.0,1,EV,435,765.0,TAKE,"TOR&nbsp;TAKEAWAY - #9 ARMSTRONG, Off. Zone",14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,37.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,TOR,9.0,ARMSTRONG,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2010,20001,42.0,1,EV,451,749.0,SHOT,"TOR ONGOAL - #3 PHANEUF, Snap, Off. Zone, 51 ft.",14.0,C,81.0,C,46.0,L,26.0,D,75.0,D,31.0,G,37.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,TOR,3.0,PHANEUF,Snap,O,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2010,20001,43.0,1,EV,463,737.0,HIT,"TOR #22 BEAUCHEMIN HIT MTL #14 PLEKANEC, Def. Zone",14.0,C,21.0,R,57.0,L,6.0,D,76.0,D,31.0,G,84.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,,,,,D,,,,,,,,,,,,,TOR,22.0,BEAUCHEMIN,MTL,14.0,PLEKANEC,,,,,,,,,,,,
42,2010,20001,44.0,1,EV,489,711.0,MISS,"TOR #16 MACARTHUR, Wrist, Wide of Net, Off. Zone, 50 ft.",11.0,C,21.0,R,57.0,L,6.0,D,76.0,D,31.0,G,84.0,C,16.0,L,41.0,L,2.0,D,15.0,D,35.0,G,TOR,16.0,MACARTHUR,Wrist,O,50.0,Wide of Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2010,20001,45.0,1,EV,505,695.0,TAKE,"MTL&nbsp;TAKEAWAY - #11 GOMEZ, Def. Zone",11.0,C,21.0,R,57.0,L,6.0,D,76.0,D,31.0,G,84.0,C,16.0,L,41.0,L,2.0,D,15.0,D,35.0,G,MTL,11.0,GOMEZ,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2010,20001,47.0,1,EV,523,677.0,FAC,MTL won Neu. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,8.0,D,36.0,D,35.0,G,,,,,N,,,,,,MTL,MTL,15.0,HALPERN,TOR,42.0,BOZAK,,,,,,,,,,,,,,2010-10-07,,,,
46,2010,20001,48.0,1,EV,531,669.0,HIT,"TOR #8 KOMISAREK HIT MTL #52 DARCHE, Neu. Zone",15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,8.0,D,36.0,D,35.0,G,,,,,N,,,,,,,,,,,,,TOR,8.0,KOMISAREK,MTL,52.0,DARCHE,,,,,,,,,,,,
